编号,图片类型,场景,动作/摆放,镜头/构图,穿搭/道具,风格关键词,反向词,最终指令
M01,模特半身图,浅色客厅沙发边,坐在沙发边一只腿自然前伸一只手撑沙发,半身到鞋子构图手机竖拍,短裙白袜运动鞋居家穿搭,买家秀实拍风自然光小红书穿搭图轻微抓拍感,影楼感过度精修鞋子变形文字水印多人重复,模特半身图，浅色客厅沙发边，坐在沙发边一只腿自然前伸一只手撑沙发，半身到鞋子构图手机竖拍，短裙白袜运动鞋居家穿搭，买家秀实拍风自然光小红书穿搭图轻微抓拍感，鞋子细节清晰，真实买家秀照片，避免影楼感过度精修鞋子变形文字水印多人重复
M02,模特半身图,卧室落地镜前,对镜自拍手机遮住部分脸身体微侧,镜中半身穿搭4比5竖图,针织上衣短裙中筒袜运动鞋,真实自拍感室内柔光生活化背景,脸部崩坏镜子变形logo乱码夸张滤镜,模特半身图，卧室落地镜前，对镜自拍手机遮住部分脸身体微侧，镜中半身穿搭4比5竖图，针织上衣短裙中筒袜运动鞋，真实自拍感室内柔光生活化背景，鞋子细节清晰，真实买家秀照片，避免脸部崩坏镜子变形logo乱码夸张滤镜
M03,模特半身图,白墙或街边墙角,半蹲一只手搭膝盖另一只手自然下垂,低角度近景鞋子靠近镜头,黑色T恤短裤运动鞋街头休闲,街头买家秀手机随拍真实人物比例,畸形手脚鞋头扭曲过度摆拍强烈磨皮,模特半身图，白墙或街边墙角，半蹲一只手搭膝盖另一只手自然下垂，低角度近景鞋子靠近镜头，黑色T恤短裤运动鞋街头休闲，街头买家秀手机随拍真实人物比例，鞋子细节清晰，真实买家秀照片，避免畸形手脚鞋头扭曲过度摆拍强烈磨皮
M04,模特半身图,木地板卧室,坐在地上身体微微后靠双腿自然弯曲,半身到脚主体居中,短上衣半裙白袜运动鞋,居家买家秀自然阴影轻松随意,AI感强肢体重复画面杂乱鞋子不完整,模特半身图，木地板卧室，坐在地上身体微微后靠双腿自然弯曲，半身到脚主体居中，短上衣半裙白袜运动鞋，居家买家秀自然阴影轻松随意，鞋子细节清晰，真实买家秀照片，避免AI感强肢体重复画面杂乱鞋子不完整
M05,模特半身图,玄关换鞋区,坐在换鞋凳上手扶鞋跟像刚试穿,侧面半身鞋子清楚,日常外套短裙或休闲裤运动鞋,真实试穿感普通家居背景自然光,商业棚拍鞋码比例错误脚踝变形文字水印,模特半身图，玄关换鞋区，坐在换鞋凳上手扶鞋跟像刚试穿，侧面半身鞋子清楚，日常外套短裙或休闲裤运动鞋，真实试穿感普通家居背景自然光，鞋子细节清晰，真实买家秀照片，避免商业棚拍鞋码比例错误脚踝变形文字水印
M06,模特半身图,室外楼梯台阶,坐在台阶上一只脚踩低一级台阶,斜侧构图低机位,宽松衬衫牛仔裤或短裤运动鞋,街拍买家秀松弛自然鞋型突出,过度锐化鞋底变形背景虚假多人入镜,模特半身图，室外楼梯台阶，坐在台阶上一只脚踩低一级台阶，斜侧构图低机位，宽松衬衫牛仔裤或短裤运动鞋，街拍买家秀松弛自然鞋型突出，鞋子细节清晰，真实买家秀照片，避免过度锐化鞋底变形背景虚假多人入镜
M07,模特半身图,咖啡店外长椅,坐姿双脚自然交叉手拿手机或包,中近景背景自然虚化,休闲外套半裙或阔腿裤运动鞋,生活方式买家秀柔和自然光非专业摄影感,影楼布光脸部不自然鞋面脏乱logo乱码,模特半身图，咖啡店外长椅，坐姿双脚自然交叉手拿手机或包，中近景背景自然虚化，休闲外套半裙或阔腿裤运动鞋，生活方式买家秀柔和自然光非专业摄影感，鞋子细节清晰，真实买家秀照片，避免影楼布光脸部不自然鞋面脏乱logo乱码
M08,模特半身图,卧室窗边地毯,坐在窗边脚向镜头方向伸出,柔和逆光半身到鞋,浅色针织短裙中筒袜运动鞋,温柔居家风真实买家秀手机拍摄质感,过曝腿部畸形鞋子模糊文字水印,模特半身图，卧室窗边地毯，坐在窗边脚向镜头方向伸出，柔和逆光半身到鞋，浅色针织短裙中筒袜运动鞋，温柔居家风真实买家秀手机拍摄质感，鞋子细节清晰，真实买家秀照片，避免过曝腿部畸形鞋子模糊文字水印
M09,模特半身图,街头人行道,自然走路抓拍一只脚刚抬起,动态竖图鞋子保持清晰,T恤短裤或牛仔裤运动鞋,街头随拍轻微动态感真实穿搭,姿势僵硬鞋子变形背景过假夸张滤镜,模特半身图，街头人行道，自然走路抓拍一只脚刚抬起，动态竖图鞋子保持清晰，T恤短裤或牛仔裤运动鞋，街头随拍轻微动态感真实穿搭，鞋子细节清晰，真实买家秀照片，避免姿势僵硬鞋子变形背景过假夸张滤镜
M10,模特半身图,室内白色柜门前,站姿靠墙一条腿微弯手自然放身侧,正面构图留白自然,红色上衣白色短裙浅色运动鞋,干净背景自然肤色真实晒图感,过度美颜肢体比例错误鞋子不清晰重复人物,模特半身图，室内白色柜门前，站姿靠墙一条腿微弯手自然放身侧，正面构图留白自然，红色上衣白色短裙浅色运动鞋，干净背景自然肤色真实晒图感，鞋子细节清晰，真实买家秀照片，避免过度美颜肢体比例错误鞋子不清晰重复人物
M11,模特半身图,商场试衣镜前,侧身站立低头整理衣摆,镜前竖图鞋子露出清楚,卫衣百褶裙中筒袜运动鞋,真实自拍感商场自然灯光日常穿搭,镜面变形文字水印鞋子变形脸部崩坏,模特半身图，商场试衣镜前，侧身站立低头整理衣摆，镜前竖图鞋子露出清楚，卫衣百褶裙中筒袜运动鞋，真实自拍感商场自然灯光日常穿搭，鞋子细节清晰，真实买家秀照片，避免镜面变形文字水印鞋子变形脸部崩坏
M12,模特半身图,电梯口走廊,靠墙站立一只脚轻轻点地,半身到鞋低角度,衬衫外套直筒裤复古运动鞋,买家秀实拍风冷色室内光生活化,姿势僵硬背景过假鞋头扭曲logo乱码,模特半身图，电梯口走廊，靠墙站立一只脚轻轻点地，半身到鞋低角度，衬衫外套直筒裤复古运动鞋，买家秀实拍风冷色室内光生活化，鞋子细节清晰，真实买家秀照片，避免姿势僵硬背景过假鞋头扭曲logo乱码
M13,模特半身图,公寓门口台阶,坐在门口台阶手臂自然搭腿,斜侧构图自然留白,吊带上衣短裤厚底运动鞋,轻松生活感手机随拍自然阴影,畸形手脚过度摆拍鞋底变形文字水印,模特半身图，公寓门口台阶，坐在门口台阶手臂自然搭腿，斜侧构图自然留白，吊带上衣短裤厚底运动鞋，轻松生活感手机随拍自然阴影，鞋子细节清晰，真实买家秀照片，避免畸形手脚过度摆拍鞋底变形文字水印
